"est","nombre","geometry"
"AN313","EGA EN ANCIN","POINT(-2.211264266712342 42.661981074150255)"
"AN314","EGA EN MURIETA","POINT(-2.12779114441297 42.65586450656187)"
"AN322","UREDERRA EN BARINDANO","POINT(-2.125288596148986 42.7655319466614)"
"AN331","IRANZU EN GROCIN","POINT(-1.994958662759714 42.67438780582899)"
"AN421","ARRAIZ PUENTE","POINT(-1.641582402650062 43.01423915522229)"
"AN422","ARRAIZ PRESA","POINT(-1.63454831022601 43.01325495817501)"
"AN433","ARAKIL EN ETXARREN","POINT(-1.846803658054703 42.913074820418316)"
"AN4311","BASABURUA EN UDABE","POINT(-1.816870339414966 42.96638537793011)"
"AN434","LARRAUN EN IRIBAS","POINT(-1.901958960644104 42.98960176823326)"
"AN439","LARRAUN EN IRURZUN","POINT(-1.837064158124972 42.91957701244744)"
"AN520","ZATOYA EN OCHAGAVIA","POINT(-1.091833802013035 42.92406746846184)"
"AN530","ARETA EN MURILLO BERROYA","POINT(-1.261266290486709 42.71252793509522)"
"AN532","ERRO EN SOROGAIN","POINT(-1.40584406716014 42.97732776557446)"
"AN533","URROBI EN ESPINAL","POINT(-1.354063887690317 42.96776094051822)"
"AN540","CIDACOS EN OLITE","POINT(-1.640737234101283 42.48331078380158)"
"AN941","BAZTAN EN OHARRIZ","POINT(-1.558132837790818 43.14097498560162)"
"AN543","CEMBORAIN EN IRIBERRI","POINT(-1.536768931188502 42.64029352426013)"
"AN942","EZKURRA EN ELGORRIAGA","POINT(-1.692200161240146 43.13301415825012)"
"AN531","ERRO EN URNIZA","POINT(-1.463627501270338 42.91933392000533)"
"AN311","EGA EN ARQUIJAS","POINT(-2.284552135390793 42.681923247424606)"
"AN441","ARGA EN ARAZURI","POINT(-1.726406371919296 42.81445301359964)"
"AN943","ZEBERIA EN MUGAIRE","POINT(-1.608261397418423 43.131420506137346)"
"AN201","ODRÓN EN MUES","POINT(-2.215154701823948 42.58933252340791)"
"AN442","ARGA EN PAMPLONA","POINT(-1.662620421298859 42.81945299105632)"
"A068","ARAKIL EN ASIAIN","POINT(-1.787316451283815 42.82995285111)"
"AN332","EGA EN ARINZANO","POINT(-1.995118369946137 42.6325337853774)"
"AN944","BAZTAN EN ERRATZU","POINT(-1.456878940392989 43.18022879201057)"
"A071","EGA EN ESTELLA","POINT(-2.035924100222124 42.67119428201842)"
"1106","BIDASOA EN ENDARLAZA","POINT(-1.729505079722602 43.29480614537928)"
"A067","ULZAMA EN OLAVE","POINT(-1.606651625893234 42.890561224336565)"
"A270","ELORZ EN PAMPLONA","POINT(-1.666778652977706 42.79759742742023)"
"AN435","ARAKIL EN URDIAIN","POINT(-2.135132472557494 42.89503958920051)"
"A313","ARGA EN BURLADA","POINT(-1.611396195369212 42.82217102907903)"
"A069","ARGA EN ECHAURI","POINT(-1.789916258223253 42.79080765069674)"
"A004","ARGA EN FUNES","POINT(-1.801248566073846 42.31479164858646)"
"A005","ARAGÓN EN CAPARROSO","POINT(-1.650548592836724 42.34326800057169)"
"AN200","LINARES EN TORRES DEL RÍO","POINT(-2.266015271442098 42.52895306099736)"
"AN443","ELORZ EN MONREAL","POINT(-1.506278441332934 42.70130747425448)"
"AN4431","ROBO EN PUENTE LA REINA","POINT(-1.810892227563506 42.67183454872213)"
"AN945","BAZTAN EN LEGASA","POINT(-1.648652445224654 43.13128341694212)"
"AN951","URUMEA EN GOIZUETA","POINT(-1.864953999416034 43.17110254691998)"
"A002","EBRO EN CASTEJÓN","POINT(-1.694736295889795 42.18007779762153)"
"A284","EBRO EN TUDELA","POINT(-1.600395489475901 42.06709044934339)"
