"id","est","fecha","altura","caudal","velocidad","superficie","metodo_aforo","observaciones"
"1","AN439","1971-01-01","0.14","1.49",NULL,NULL,"MOLINETE","SIN FECHA"
"2","AN439","1971-01-01","0.11","0.785",NULL,NULL,"MOLINETE","SIN FECHA"
"3","AN439","1971-01-01","0.3","4.816",NULL,NULL,"MOLINETE","SIN FECHA"
"4","AN439","1971-01-01","0.53","7.85",NULL,NULL,"MOLINETE","SIN FECHA"
"5","AN439","1971-01-01","1.32","52.617",NULL,NULL,"MOLINETE","SIN FECHA"
"6","AN439","1971-01-01","0.94","17.23",NULL,NULL,"MOLINETE","SIN FECHA"
"7","AN439","1971-01-01","0.92","10.64",NULL,NULL,"MOLINETE","SIN FECHA"
"8","AN314","1974-04-17","0.65","3.655","0.39556277","9.24","MF_PRO",NULL
"9","AN322","1982-09-09","0.47","0.397",NULL,NULL,"MOLINETE",NULL
"10","AN434","1982-09-15","0.63","0.075",NULL,NULL,"MOLINETE",NULL
"11","AN322","1982-10-28","0.59","1.447",NULL,NULL,"MOLINETE","MAL"
"12","AN434","1982-11-09","0.8","2.03",NULL,NULL,"MOLINETE",NULL
"13","AN322","1982-11-11","0.82","1.85",NULL,NULL,"MOLINETE","MAL"
"14","AN434","1983-02-25","1.39","15.5",NULL,NULL,"MOLINETE",NULL
"15","AN322","1983-02-26","1.76","26.98",NULL,NULL,"MOLINETE",NULL
"16","AN434","1983-04-16","0.79","2.251",NULL,NULL,"MOLINETE",NULL
"17","AN322","1983-04-28","0.73","3.745",NULL,NULL,"MOLINETE",NULL
"18","AN434","1983-05-04","0.69","0.603",NULL,NULL,"MOLINETE",NULL
"19","AN322","1983-10-10","0.47","0.407",NULL,NULL,"MOLINETE",NULL
"20","AN322","1984-02-10","1.26","14.758",NULL,NULL,"MOLINETE",NULL
"21","AN434","1984-03-24","0.95","5.741",NULL,NULL,"MOLINETE",NULL
"22","AN322","1984-03-28","0.87","5.517",NULL,NULL,"MOLINETE",NULL
"23","AN941","1984-12-13","0.17","3.086",NULL,NULL,"MOLINETE",NULL
"24","AN941","1985-01-19","0.59","22.95",NULL,NULL,"MOLINETE",NULL
"25","AN941","1985-02-05","0.22","4.504",NULL,NULL,"MOLINETE",NULL
"26","AN941","1985-02-14","0.31","6.622",NULL,NULL,"MOLINETE",NULL
"27","AN322","1985-04-01","0.75","4.545",NULL,NULL,"MOLINETE",NULL
"28","AN434","1985-04-02","0.87","4.257",NULL,NULL,"MOLINETE",NULL
"29","AN322","1985-04-16","0.7","3.178",NULL,NULL,"MOLINETE",NULL
"30","AN434","1985-04-17","0.83","2.77",NULL,NULL,"MOLINETE",NULL
"31","AN941","1985-04-17","0.3","6.157",NULL,NULL,"MOLINETE",NULL
"32","AN941","1985-05-06","1.9","145.2",NULL,NULL,"MOLINETE",NULL
"33","AN439","1985-08-03","0.1","0.773",NULL,NULL,"MOLINETE",NULL
"34","AN421","1985-08-23","0.32","0.156",NULL,NULL,"MOLINETE",NULL
"35","AN941","1985-10-04","0.07","0.642",NULL,NULL,"MOLINETE",NULL
"36","AN422","1985-11-20","0.34","0.038","0.703","0.054","MOLINETE",NULL
"37","AN532","1986-01-22","0.5","0.444",NULL,NULL,"MOLINETE",NULL
"38","AN314","1986-02-04","0.57","8.071",NULL,NULL,"MOLINETE",NULL
"39","AN422","1986-02-06","0.41","0.107","1.11","0.096","MOLINETE",NULL
"40","AN941","1986-02-06","0.34","6.962",NULL,NULL,"MOLINETE",NULL
"41","AN532","1986-02-07","0.35","0.337",NULL,NULL,"MOLINETE",NULL
"42","AN422","1986-02-25","0.52","0.168","1.03","0.163","MOLINETE","MAL"
"43","AN532","1986-03-13","0.7","4.166",NULL,NULL,"MOLINETE","MAL"
"44","AN941","1986-03-13","1.3","112.47",NULL,NULL,"MOLINETE",NULL
"45","AN421","1986-03-21","0.44","0.968",NULL,NULL,"MOLINETE",NULL
"46","AN434","1986-03-21","1.02","8.905",NULL,NULL,"MOLINETE",NULL
"47","AN532","1986-05-21","0.25","0.241",NULL,NULL,"MOLINETE",NULL
"48","AN434","1986-06-09","0.71","1.135",NULL,NULL,"MOLINETE",NULL
"49","AN314","1986-06-12","0.23","2.076",NULL,NULL,"MOLINETE",NULL
"50","AN532","1986-06-14","0.15","0.117",NULL,NULL,"MOLINETE",NULL
"51","AN532","1986-07-15","0.08","0.062",NULL,NULL,"MOLINETE",NULL
"52","AN421","1986-09-01","0.29","0.061",NULL,NULL,"MOLINETE",NULL
"53","AN314","1986-10-11","0.15","1.102",NULL,NULL,"MOLINETE",NULL
"54","AN313","1986-10-31","0.41","0.281",NULL,NULL,"MOLINETE","Q=exp(-13.98+7h)"
"55","AN532","1986-11-25","0.4","0.034",NULL,NULL,"MOLINETE",NULL
"56","AN4311","1987-02-05","0.41","11.398",NULL,NULL,"MOLINETE",NULL
"57","AN422","1987-02-14","0.72","1.209","1.04","1.162","MOLINETE",NULL
"58","AN313","1987-02-17","0.94","7.026",NULL,NULL,"MOLINETE","Mal"
"59","AN314","1987-02-17","0.54","8.6",NULL,NULL,"MOLINETE",NULL
"60","AN421","1987-02-17","0.41","0.519",NULL,NULL,"MOLINETE",NULL
"61","AN422","1987-02-18","0.57","0.318","0.859","0.37","MOLINETE","MAL"
"62","AN314","1987-02-21","0.44","6.49",NULL,NULL,"MOLINETE",NULL
"63","AN313","1987-03-07","0.74","4.049",NULL,NULL,"MOLINETE",NULL
"64","AN313","1987-03-18","0.64","2.253",NULL,NULL,"MOLINETE",NULL
"65","AN941","1987-04-01","0.51","18.012",NULL,NULL,"MOLINETE",NULL
